elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBack_resp_2.rt,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
291.651,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.447,2,1,21,2,1,3,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.818,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.302,2,2,22,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.834,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.336,2,3,23,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.885,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.435,2,4,24,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320.035,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.452,2,5,25,4,1,5,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327.201,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.37,2,6,26,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.285,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.598,2,7,27,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341.6,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.4,2,8,28,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348.717,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.467,2,9,29,6,1,7,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.901,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.39,3,0,30,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
